movies,categories,run_time,screen_time,n_movies
460,44,"[29, 36]","[24, 24]","[9, 9]"
1540,14,"[49, 58]","[25, 25]","[13, 13]"
5680,19,"[62, 76]","[27, 27]","[12, 12]"
370,30,"[23, 35]","[22, 23]","[10, 12]"
8290,15,"[62, 74]","[25, 25]","[13, 13]"
370,24,"[23, 26]","[22, 22]","[12, 12]"
3160,38,"[53, 56]","[26, 26]","[12, 12]"
4510,6,"[92, 109]","[26, 26]","[15, 15]"
1180,38,"[63, 72]","[25, 25]","[10, 10]"
10000,40,"[136, 150]","[26, 26]","[16, 16]"
7660,19,"[74, 83]","[27, 27]","[15, 15]"
1900,46,"[36, 57]","[24, 27]","[14, 14]"
4510,16,"[31, 40]","[27, 27]","[12, 12]"
8650,39,"[263, 289]","[25, 25]","[14, 14]"
2530,48,"[73, 80]","[25, 25]","[12, 12]"
7210,47,"[24, 78]","[25, 26]","[11, 12]"
6310,4,"[13, 23]","[27, 27]","[11, 11]"
8650,11,"[147, 169]","[27, 27]","[13, 13]"
9100,26,"[51, 92]","[25, 26]","[11, 12]"
7660,31,"[76, 86]","[24, 24]","[10, 10]"
3610,21,"[78, 91]","[28, 28]","[12, 12]"
820,16,"[32, 36]","[25, 25]","[14, 14]"
3880,17,"[15, 63]","[24, 25]","[11, 12]"
3610,35,"[125, 135]","[26, 26]","[15, 15]"
1180,10,"[26, 30]","[25, 25]","[12, 12]"
6130,12,"[29, 37]","[26, 26]","[11, 11]"
7660,25,"[43, 76]","[26, 27]","[11, 11]"
9100,32,"[181, 198]","[26, 26]","[13, 13]"
6490,47,"[60, 71]","[25, 25]","[13, 13]"
100,3,"[8, 11]","[23, 23]","[9, 9]"
5860,4,"[126, 144]","[26, 26]","[12, 12]"
4060,48,"[84, 101]","[24, 24]","[12, 12]"
9820,6,"[95, 102]","[27, 27]","[12, 12]"
190,20,"[15, 19]","[23, 26]","[10, 13]"
6850,13,"[61, 73]","[26, 26]","[12, 12]"
6400,4,"[41, 52]","[21, 21]","[11, 11]"
4150,14,"[12, 43]","[27, 27]","[10, 10]"
190,34,"[13, 16]","[26, 26]","[8, 8]"
3250,23,"[36, 45]","[24, 24]","[12, 12]"
9550,4,"[212, 227]","[26, 26]","[12, 12]"
1180,8,"[33, 36]","[26, 26]","[15, 15]"
6490,8,"[58, 97]","[25, 25]","[11, 11]"
2710,6,"[49, 82]","[24, 28]","[11, 11]"
4150,28,"[130, 140]","[25, 25]","[14, 14]"
4690,43,"[51, 70]","[26, 26]","[13, 13]"
7750,45,"[175, 190]","[25, 25]","[15, 15]"
4330,16,"[29, 122]","[24, 24]","[11, 13]"
3250,37,"[51, 62]","[26, 26]","[12, 12]"
3520,12,"[42, 52]","[25, 25]","[11, 11]"
1360,14,"[40, 52]","[25, 25]","[13, 13]"
7480,21,"[72, 156]","[26, 27]","[12, 13]"
8560,22,"[42, 85]","[24, 24]","[11, 11]"
550,30,"[32, 33]","[25, 25]","[12, 12]"
6670,43,"[87, 99]","[26, 26]","[14, 14]"
4960,18,"[40, 159]","[24, 25]","[9, 11]"
8560,36,"[114, 126]","[24, 24]","[9, 9]"
550,24,"[26, 35]","[24, 24]","[11, 11]"
7480,35,"[90, 105]","[26, 26]","[13, 13]"
8110,40,"[32, 65]","[24, 25]","[10, 11]"
1360,28,"[23, 33]","[25, 25]","[13, 13]"
730,32,"[26, 33]","[25, 25]","[13, 13]"
3790,27,"[59, 69]","[26, 26]","[13, 13]"
9280,4,"[41, 102]","[25, 26]","[12, 12]"
4960,30,"[62, 97]","[25, 25]","[11, 11]"
7120,48,"[142, 158]","[26, 26]","[14, 14]"
7390,41,"[176, 195]","[28, 28]","[13, 13]"
8740,9,"[97, 153]","[24, 24]","[15, 15]"
4060,2,"[2, 9]","[4, 4]","[3, 3]"
550,18,"[30, 40]","[26, 26]","[14, 14]"
4960,24,"[66, 81]","[26, 26]","[12, 12]"
1000,16,"[33, 44]","[26, 26]","[11, 13]"
730,26,"[24, 26]","[25, 25]","[9, 9]"
3790,33,"[80, 92]","[27, 27]","[13, 13]"
5950,27,"[92, 109]","[24, 24]","[12, 12]"
8920,3,"[58, 130]","[24, 25]","[12, 13]"
9730,37,"[90, 112]","[26, 26]","[13, 13]"
9730,23,"[105, 118]","[27, 27]","[13, 13]"
6940,16,"[73, 112]","[24, 24]","[12, 13]"
5950,33,"[63, 82]","[27, 27]","[13, 13]"
3340,2,"[4, 13]","[15, 15]","[6, 6]"
7570,8,"[31, 44]","[25, 25]","[13, 13]"
8830,49,"[74, 91]","[27, 27]","[13, 15]"
9550,35,"[56, 87]","[26, 26]","[15, 15]"
3340,26,"[34, 51]","[24, 24]","[11, 11]"
3970,45,"[58, 108]","[24, 26]","[12, 13]"
3610,3,"[45, 54]","[26, 26]","[11, 11]"
4780,46,"[31, 47]","[26, 26]","[13, 13]"
3340,32,"[79, 88]","[25, 25]","[16, 16]"
8200,16,"[16, 46]","[25, 28]","[11, 12]"
9550,21,"[71, 84]","[24, 24]","[11, 11]"
6310,30,"[76, 91]","[26, 26]","[11, 11]"
5410,49,"[19, 33]","[24, 24]","[11, 11]"
1270,11,"[25, 41]","[24, 25]","[13, 14]"
3430,17,"[67, 80]","[25, 25]","[13, 13]"
9190,19,"[156, 171]","[24, 24]","[13, 13]"
1270,5,"[53, 60]","[24, 24]","[13, 13]"
6760,5,"[68, 86]","[24, 26]","[11, 13]"
6760,46,"[109, 123]","[24, 24]","[10, 10]"
8470,27,"[159, 180]","[25, 25]","[16, 16]"
2260,34,"[57, 62]","[26, 26]","[14, 14]"
2710,42,"[34, 50]","[24, 26]","[12, 12]"
2260,20,"[48, 56]","[27, 27]","[15, 15]"
8470,33,"[124, 139]","[27, 27]","[18, 18]"
1990,45,"[36, 48]","[26, 26]","[14, 14]"
6310,24,"[60, 80]","[24, 27]","[12, 13]"
8380,1,"[1, 6]","[1, 1]","[1, 1]"
6400,50,"[72, 85]","[24, 24]","[14, 14]"
2980,48,"[116, 134]","[25, 25]","[12, 12]"
9190,25,"[78, 93]","[26, 26]","[11, 11]"
4870,35,"[110, 118]","[26, 26]","[14, 14]"
4240,42,"[77, 87]","[25, 25]","[16, 16]"
9190,31,"[74, 208]","[24, 26]","[12, 12]"
4870,21,"[22, 34]","[25, 25]","[10, 10]"
6400,44,"[98, 107]","[25, 25]","[13, 13]"
1720,4,"[29, 39]","[28, 28]","[11, 11]"
6310,18,"[14, 56]","[25, 27]","[11, 16]"
1270,39,"[61, 71]","[24, 24]","[12, 12]"
6400,45,"[60, 73]","[26, 26]","[12, 12]"
4870,20,"[26, 40]","[25, 25]","[13, 13]"
9190,30,"[96, 121]","[24, 27]","[16, 17]"
4240,43,"[111, 122]","[25, 25]","[13, 13]"
1270,38,"[47, 54]","[24, 24]","[16, 16]"
6310,19,"[31, 44]","[24, 24]","[13, 13]"
1720,5,"[36, 57]","[24, 24]","[12, 13]"
4870,34,"[53, 63]","[26, 26]","[13, 13]"
9190,24,"[67, 81]","[26, 26]","[13, 13]"
2980,49,"[62, 71]","[26, 26]","[12, 12]"
2260,21,"[36, 67]","[24, 26]","[12, 13]"
8470,32,"[143, 184]","[28, 28]","[11, 11]"
2710,43,"[96, 107]","[25, 25]","[11, 11]"
6310,25,"[58, 75]","[26, 26]","[14, 14]"
1990,44,"[36, 51]","[24, 25]","[11, 13]"
3430,16,"[131, 155]","[26, 26]","[11, 11]"
1270,10,"[46, 56]","[24, 24]","[12, 12]"
6310,31,"[90, 101]","[27, 27]","[13, 13]"
5410,48,"[138, 178]","[24, 24]","[11, 14]"
1990,50,"[67, 94]","[26, 26]","[14, 14]"
8470,26,"[102, 118]","[27, 27]","[12, 12]"
2260,35,"[32, 41]","[24, 24]","[12, 12]"
6760,47,"[104, 127]","[24, 24]","[13, 13]"
6760,4,"[137, 159]","[25, 25]","[11, 11]"
1270,4,"[48, 59]","[23, 23]","[10, 10]"
9190,18,"[76, 93]","[26, 26]","[12, 12]"
1540,1,"[2, 9]","[11, 11]","[4, 4]"
4780,47,"[45, 56]","[26, 26]","[12, 12]"
3970,50,"[72, 80]","[26, 26]","[14, 14]"
3340,33,"[103, 118]","[28, 28]","[15, 15]"
9550,20,"[102, 123]","[25, 25]","[12, 13]"
8200,17,"[95, 111]","[26, 26]","[14, 14]"
3970,44,"[96, 113]","[25, 25]","[15, 15]"
9550,34,"[131, 143]","[25, 25]","[14, 14]"
3340,27,"[82, 107]","[25, 26]","[11, 12]"
3610,2,"[5, 18]","[15, 15]","[8, 8]"
6940,17,"[66, 80]","[24, 24]","[10, 10]"
9730,22,"[38, 82]","[26, 26]","[10, 12]"
8830,48,"[252, 274]","[24, 24]","[13, 13]"
7570,9,"[123, 143]","[27, 27]","[13, 13]"
3340,3,"[4, 20]","[9, 9]","[5, 5]"
5950,32,"[60, 141]","[25, 27]","[12, 14]"
8920,2,"[14, 22]","[22, 22]","[8, 8]"
5950,26,"[44, 80]","[26, 26]","[12, 12]"
9100,1,"[5, 12]","[1, 3]","[1, 1]"
9730,36,"[63, 78]","[27, 27]","[10, 10]"
4960,25,"[67, 78]","[25, 25]","[12, 12]"
550,19,"[30, 38]","[27, 27]","[13, 13]"
4060,3,"[19, 63]","[20, 25]","[10, 11]"
8740,8,"[60, 73]","[25, 25]","[10, 10]"
3790,32,"[123, 135]","[25, 25]","[13, 13]"
730,27,"[18, 25]","[25, 25]","[10, 10]"
1000,17,"[47, 57]","[25, 25]","[14, 14]"
9280,5,"[34, 226]","[26, 27]","[13, 13]"
3790,26,"[64, 76]","[26, 26]","[15, 15]"
730,33,"[26, 41]","[26, 26]","[12, 12]"
1360,29,"[51, 63]","[27, 27]","[11, 11]"
7390,40,"[42, 98]","[25, 26]","[10, 15]"
9730,1,"[2, 14]","[5, 5]","[2, 2]"
4960,31,"[118, 133]","[25, 25]","[12, 12]"
7120,49,"[40, 83]","[24, 24]","[13, 13]"
550,25,"[31, 34]","[23, 23]","[12, 12]"
8560,37,"[106, 120]","[26, 26]","[12, 12]"
4960,19,"[100, 146]","[27, 27]","[12, 12]"
8110,41,"[129, 147]","[27, 28]","[14, 15]"
7480,34,"[41, 60]","[24, 24]","[12, 12]"
2800,1,"[2, 10]","[11, 11]","[4, 4]"
7480,20,"[120, 132]","[24, 24]","[12, 12]"
1360,15,"[42, 57]","[24, 26]","[11, 12]"
3520,13,"[55, 161]","[26, 26]","[13, 13]"
7660,1,"[2, 11]","[13, 13]","[4, 4]"
6670,42,"[52, 67]","[25, 25]","[13, 13]"
550,31,"[26, 34]","[25, 26]","[11, 12]"
8560,23,"[113, 127]","[25, 25]","[11, 11]"
4690,42,"[116, 135]","[25, 25]","[14, 14]"
4150,29,"[17, 29]","[26, 26]","[11, 11]"
3250,36,"[52, 61]","[24, 26]","[11, 12]"
4330,17,"[66, 79]","[25, 25]","[13, 13]"
7750,44,"[135, 152]","[25, 25]","[14, 14]"
7750,50,"[109, 128]","[27, 27]","[9, 9]"
6490,9,"[19, 109]","[24, 26]","[10, 13]"
1180,9,"[39, 49]","[26, 26]","[13, 13]"
3250,22,"[80, 118]","[28, 28]","[13, 13]"
9550,5,"[78, 94]","[24, 24]","[12, 12]"
2710,7,"[61, 85]","[24, 26]","[13, 14]"
4150,15,"[76, 92]","[24, 24]","[13, 13]"
6400,5,"[114, 137]","[28, 28]","[13, 13]"
6850,12,"[112, 120]","[25, 25]","[14, 14]"
190,35,"[12, 16]","[22, 26]","[12, 12]"
190,21,"[15, 19]","[24, 24]","[10, 10]"
9820,7,"[30, 39]","[26, 26]","[11, 11]"
7660,24,"[58, 80]","[25, 25]","[11, 11]"
6130,13,"[67, 133]","[24, 26]","[12, 12]"
1180,11,"[41, 53]","[26, 26]","[12, 12]"
3880,16,"[75, 85]","[26, 26]","[13, 13]"
3610,34,"[38, 52]","[27, 27]","[14, 14]"
4060,49,"[32, 78]","[25, 26]","[12, 14]"
5860,5,"[91, 105]","[25, 25]","[14, 14]"
6490,46,"[128, 147]","[25, 25]","[12, 12]"
100,2,"[2, 5]","[11, 11]","[3, 3]"
9100,33,"[23, 106]","[24, 24]","[12, 13]"
9100,27,"[52, 63]","[28, 28]","[13, 13]"
8650,10,"[116, 127]","[26, 26]","[11, 11]"
6310,5,"[36, 80]","[25, 26]","[12, 13]"
7210,46,"[54, 67]","[24, 24]","[14, 14]"
820,17,"[15, 17]","[25, 25]","[12, 12]"
3610,20,"[26, 30]","[28, 28]","[13, 13]"
7660,30,"[146, 238]","[25, 27]","[9, 10]"
1900,47,"[37, 47]","[25, 25]","[13, 13]"
7660,18,"[80, 93]","[26, 26]","[13, 13]"
2530,49,"[15, 26]","[24, 24]","[10, 10]"
8650,38,"[25, 82]","[24, 25]","[10, 13]"
4510,17,"[60, 73]","[27, 27]","[14, 14]"
10000,41,"[112, 128]","[27, 27]","[12, 12]"
1180,39,"[40, 44]","[25, 25]","[12, 12]"
4510,7,"[76, 144]","[24, 28]","[13, 16]"
3160,39,"[37, 54]","[24, 24]","[12, 12]"
370,25,"[16, 18]","[26, 26]","[12, 12]"
8290,14,"[38, 55]","[26, 26]","[13, 13]"
1540,15,"[54, 62]","[26, 26]","[16, 16]"
370,31,"[18, 21]","[27, 27]","[12, 12]"
5680,18,"[104, 115]","[27, 27]","[15, 15]"
370,19,"[13, 24]","[26, 26]","[13, 13]"
2260,3,"[10, 19]","[17, 17]","[10, 10]"
8290,28,"[62, 101]","[25, 27]","[12, 13]"
5770,3,"[4, 12]","[11, 11]","[7, 7]"
8020,21,"[18, 31]","[24, 24]","[12, 12]"
5680,30,"[121, 130]","[26, 26]","[15, 15]"
460,45,"[25, 56]","[23, 25]","[11, 13]"
1540,29,"[44, 57]","[27, 27]","[14, 14]"
8020,35,"[18, 34]","[24, 24]","[10, 10]"
8020,1,"[2, 16]","[9, 9]","[4, 4]"
3160,11,"[27, 76]","[25, 27]","[11, 14]"
5680,24,"[38, 55]","[26, 26]","[14, 14]"
7840,48,"[83, 98]","[25, 25]","[11, 11]"
1720,17,"[21, 28]","[26, 26]","[14, 14]"
3700,31,"[39, 103]","[25, 25]","[10, 14]"
9460,40,"[64, 82]","[26, 26]","[12, 12]"
1090,14,"[35, 38]","[26, 26]","[15, 15]"
2080,31,"[39, 52]","[26, 26]","[11, 11]"
9010,36,"[52, 97]","[24, 25]","[12, 13]"
5140,3,"[71, 83]","[24, 24]","[13, 13]"
820,4,"[14, 23]","[25, 25]","[12, 12]"
6580,43,"[84, 98]","[25, 25]","[12, 12]"
10,48,"[3, 4]","[8, 10]","[4, 4]"
7930,34,"[92, 104]","[24, 24]","[11, 11]"
7300,43,"[81, 96]","[28, 28]","[14, 14]"
7930,20,"[66, 81]","[25, 25]","[11, 11]"
8740,15,"[58, 109]","[25, 25]","[12, 12]"
9010,22,"[107, 127]","[26, 26]","[13, 13]"
2080,25,"[21, 30]","[25, 25]","[13, 13]"
3700,25,"[71, 79]","[25, 25]","[12, 12]"
1090,28,"[24, 33]","[27, 27]","[11, 11]"
1810,42,"[39, 47]","[24, 24]","[12, 12]"
550,6,"[28, 33]","[25, 25]","[13, 13]"
9370,20,"[139, 162]","[26, 26]","[15, 15]"
8740,29,"[60, 164]","[25, 25]","[12, 18]"
2080,19,"[69, 76]","[24, 24]","[15, 15]"
9370,34,"[278, 297]","[26, 26]","[15, 15]"
3700,19,"[43, 56]","[24, 24]","[10, 10]"
5410,2,"[2, 26]","[10, 11]","[5, 5]"
5860,46,"[64, 80]","[27, 27]","[13, 13]"
5320,7,"[93, 110]","[25, 25]","[14, 14]"
2440,21,"[27, 36]","[28, 28]","[14, 14]"
8380,11,"[123, 139]","[25, 25]","[12, 12]"
4600,41,"[61, 131]","[25, 26]","[13, 15]"
6040,47,"[32, 42]","[25, 25]","[14, 14]"
1450,10,"[48, 59]","[25, 25]","[13, 13]"
5230,48,"[146, 158]","[25, 25]","[12, 12]"
8470,5,"[40, 125]","[26, 28]","[14, 14]"
3070,28,"[61, 69]","[24, 24]","[12, 12]"
6850,7,"[61, 75]","[25, 25]","[11, 11]"
2440,35,"[31, 40]","[25, 25]","[13, 13]"
4690,3,"[27, 54]","[22, 26]","[10, 10]"
100,36,"[9, 11]","[24, 24]","[12, 12]"
730,2,"[2, 3]","[11, 11]","[3, 3]"
6220,45,"[31, 41]","[25, 25]","[11, 11]"
1450,38,"[18, 29]","[27, 27]","[13, 13]"
2350,41,"[25, 48]","[25, 26]","[13, 14]"
280,6,"[16, 24]","[23, 23]","[11, 11]"
2620,23,"[75, 86]","[26, 26]","[13, 13]"
1810,6,"[65, 76]","[25, 25]","[12, 12]"
9820,12,"[19, 27]","[25, 26]","[10, 14]"
2620,37,"[19, 29]","[27, 27]","[11, 11]"
8380,39,"[23, 34]","[25, 25]","[10, 10]"
1630,12,"[61, 68]","[26, 26]","[13, 13]"
100,22,"[9, 11]","[20, 22]","[11, 12]"
3070,14,"[48, 65]","[27, 27]","[13, 13]"
1810,4,"[40, 43]","[24, 24]","[11, 11]"
2620,21,"[70, 78]","[26, 26]","[13, 13]"
280,4,"[16, 27]","[22, 22]","[9, 9]"
2350,43,"[60, 81]","[24, 25]","[12, 13]"
6220,47,"[82, 92]","[27, 27]","[15, 15]"
100,34,"[10, 11]","[24, 24]","[11, 11]"
3070,16,"[45, 59]","[25, 25]","[14, 14]"
100,20,"[9, 10]","[26, 26]","[10, 10]"
1630,10,"[36, 63]","[24, 24]","[12, 12]"
5050,48,"[125, 141]","[24, 24]","[15, 15]"
2620,35,"[103, 112]","[26, 26]","[13, 13]"
9820,10,"[99, 149]","[24, 25]","[14, 14]"
9820,38,"[37, 49]","[26, 26]","[10, 10]"
6040,45,"[110, 124]","[28, 28]","[13, 13]"
4600,43,"[54, 66]","[25, 25]","[12, 12]"
1630,38,"[47, 57]","[24, 25]","[13, 17]"
8380,13,"[55, 63]","[30, 30]","[11, 11]"
2440,23,"[84, 95]","[24, 24]","[13, 13]"
5320,5,"[95, 104]","[25, 25]","[12, 12]"
4690,1,"[0, 5]","[1, 1]","[1, 1]"
2440,37,"[30, 37]","[25, 25]","[12, 12]"
6850,5,"[35, 43]","[25, 25]","[12, 12]"
8470,7,"[31, 144]","[24, 25]","[11, 12]"
1450,12,"[29, 38]","[26, 26]","[14, 14]"
9370,22,"[68, 86]","[25, 25]","[14, 14]"
550,4,"[20, 22]","[24, 24]","[13, 13]"
1810,40,"[13, 51]","[24, 26]","[10, 12]"
5860,50,"[80, 95]","[24, 24]","[13, 13]"
5860,44,"[31, 39]","[24, 24]","[11, 11]"
2170,9,"[68, 75]","[28, 28]","[14, 14]"
9370,36,"[41, 152]","[24, 26]","[13, 14]"
7930,36,"[100, 114]","[26, 26]","[16, 16]"
4960,2,"[2, 9]","[5, 5]","[2, 2]"
6580,41,"[68, 107]","[24, 26]","[13, 15]"
820,6,"[36, 44]","[25, 25]","[14, 14]"
5140,1,"[1, 8]","[4, 4]","[2, 2]"
9010,34,"[95, 108]","[26, 26]","[12, 12]"
2080,33,"[27, 81]","[25, 27]","[10, 15]"
1090,16,"[35, 46]","[24, 24]","[13, 13]"
9460,42,"[171, 195]","[26, 26]","[12, 12]"
3700,33,"[55, 65]","[27, 27]","[15, 15]"
3700,27,"[39, 95]","[26, 27]","[11, 12]"
2080,27,"[20, 32]","[27, 27]","[12, 12]"
9010,20,"[91, 107]","[26, 26]","[15, 15]"
8740,17,"[24, 35]","[25, 25]","[12, 12]"
7930,22,"[86, 145]","[25, 26]","[11, 14]"
7210,2,"[9, 19]","[20, 20]","[8, 8]"
7300,41,"[48, 58]","[24, 24]","[12, 12]"
460,47,"[28, 29]","[22, 24]","[14, 14]"
5680,32,"[91, 105]","[26, 26]","[12, 12]"
8020,23,"[80, 95]","[27, 27]","[13, 13]"
5770,1,"[0, 8]","[1, 1]","[1, 1]"
2260,1,"[1, 7]","[6, 6]","[2, 2]"
1720,15,"[19, 21]","[25, 25]","[10, 10]"
5680,26,"[129, 138]","[24, 24]","[13, 13]"
3160,13,"[108, 124]","[24, 24]","[16, 16]"
8020,3,"[7, 16]","[21, 21]","[8, 8]"
8020,37,"[109, 119]","[25, 25]","[10, 10]"
8290,16,"[91, 112]","[24, 24]","[11, 11]"
370,27,"[11, 34]","[23, 24]","[10, 11]"
1720,29,"[16, 25]","[24, 24]","[9, 9]"
370,33,"[24, 37]","[24, 24]","[13, 13]"
1540,17,"[16, 25]","[24, 24]","[11, 11]"
4510,15,"[101, 116]","[26, 26]","[13, 13]"
1900,45,"[49, 94]","[24, 27]","[11, 14]"
3880,28,"[20, 27]","[25, 25]","[12, 12]"
820,29,"[23, 27]","[28, 28]","[13, 13]"
4510,5,"[80, 86]","[26, 26]","[11, 11]"
6130,39,"[82, 244]","[25, 26]","[13, 17]"
10000,43,"[69, 80]","[24, 24]","[12, 12]"
9100,19,"[71, 86]","[27, 27]","[13, 13]"
9100,31,"[99, 212]","[26, 27]","[12, 14]"
7210,50,"[38, 48]","[26, 26]","[13, 13]"
4510,29,"[59, 73]","[24, 24]","[14, 14]"
6490,44,"[59, 158]","[24, 25]","[14, 15]"
5860,7,"[79, 92]","[26, 26]","[11, 11]"
3610,36,"[80, 92]","[26, 26]","[12, 12]"
3880,14,"[123, 131]","[25, 25]","[15, 15]"
1180,13,"[53, 62]","[25, 25]","[12, 12]"
6130,11,"[129, 162]","[24, 26]","[10, 13]"
7660,26,"[92, 108]","[24, 24]","[11, 11]"
7660,32,"[128, 139]","[24, 24]","[12, 12]"
3610,22,"[14, 86]","[24, 26]","[11, 13]"
820,15,"[41, 45]","[24, 24]","[14, 14]"
6490,50,"[19, 34]","[25, 25]","[10, 10]"
7210,44,"[82, 92]","[25, 25]","[10, 10]"
6310,7,"[35, 87]","[25, 26]","[13, 13]"
8650,12,"[53, 66]","[27, 27]","[12, 12]"
9100,25,"[166, 182]","[25, 25]","[12, 12]"
4330,29,"[96, 106]","[24, 24]","[16, 16]"
190,37,"[15, 19]","[22, 23]","[9, 11]"
2170,49,"[41, 51]","[25, 25]","[10, 10]"
6850,10,"[168, 182]","[25, 25]","[12, 12]"
6400,7,"[35, 48]","[26, 26]","[13, 13]"
4150,17,"[34, 69]","[24, 26]","[12, 14]"
9820,5,"[33, 49]","[24, 24]","[11, 11]"
190,23,"[15, 16]","[24, 24]","[10, 10]"
910,49,"[26, 30]","[25, 25]","[13, 13]"
7750,46,"[110, 153]","[25, 26]","[11, 14]"
4330,15,"[129, 141]","[24, 24]","[14, 14]"
3250,34,"[44, 54]","[28, 28]","[16, 16]"
4420,49,"[54, 70]","[26, 26]","[12, 12]"
4690,40,"[115, 133]","[26, 26]","[11, 11]"
6850,38,"[97, 138]","[27, 27]","[13, 13]"
2710,5,"[55, 63]","[26, 26]","[13, 13]"
9550,7,"[142, 169]","[24, 24]","[13, 13]"
3250,20,"[60, 82]","[25, 26]","[11, 12]"
730,19,"[40, 48]","[24, 24]","[11, 11]"
7480,36,"[183, 206]","[27, 27]","[14, 14]"
8110,43,"[95, 107]","[24, 24]","[12, 12]"
1000,29,"[18, 19]","[26, 26]","[11, 11]"
8560,35,"[50, 61]","[24, 24]","[12, 12]"
550,27,"[11, 12]","[27, 27]","[12, 12]"
8560,21,"[72, 87]","[24, 24]","[12, 12]"
550,33,"[32, 39]","[24, 24]","[14, 14]"
6670,40,"[88, 125]","[27, 27]","[14, 15]"
7660,3,"[72, 90]","[24, 24]","[11, 11]"
3520,11,"[17, 27]","[26, 26]","[12, 12]"
1360,17,"[38, 47]","[25, 25]","[14, 14]"
7480,22,"[21, 53]","[25, 26]","[11, 13]"
3790,18,"[22, 34]","[26, 26]","[13, 13]"
2800,3,"[15, 26]","[25, 25]","[11, 11]"
3520,39,"[79, 97]","[24, 24]","[13, 13]"
9640,48,"[67, 255]","[24, 26]","[13, 14]"
1000,15,"[28, 34]","[24, 24]","[15, 15]"
730,25,"[39, 41]","[23, 23]","[13, 13]"
3790,30,"[72, 88]","[27, 27]","[17, 17]"
