movies,categories,run_time,total_comb,tested_comb
22,7,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
24,1,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
26,3,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
26,1,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
24,3,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
22,5,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
20,7,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
20,6,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
22,4,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
24,2,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
26,4,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
24,6,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
20,2,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
20,3,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
22,1,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
24,7,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
26,5,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
26,7,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
28,8,"[30, 30]","[268435456, 268435456]","[268435456, 268435456]"
24,5,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
22,3,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
27,10,"[30, 30]","[134217728, 134217728]","[134217728, 134217728]"
20,1,"[30, 30]","[1048576, 1048576]","[1048576, 1048576]"
22,2,"[30, 30]","[4194304, 4194304]","[4194304, 4194304]"
24,4,"[30, 30]","[16777216, 16777216]","[16777216, 16777216]"
28,9,"[30, 30]","[268435456, 268435456]","[268435456, 268435456]"
26,6,"[30, 30]","[67108864, 67108864]","[67108864, 67108864]"
